sku,name,brand,price,quantity,category,supplier,image,description,warranty_months
,,,,,,,,
SM-AP-001,iPhone 14 Pro,Apple,99999,20,Smartphone,TechWorld Pvt Ltd,,Latest Apple smartphone with advanced camera and performance.,12
SM-SA-002,Galaxy S23,Samsung,89999,15,Smartphone,MobileMart Pvt Ltd,,Flagship Samsung phone with AMOLED display and fast charging.,12
LP-LE-003,ThinkPad X1 Carbon,Lenovo,124999,10,Laptop,DigiHub Electronics,,"Ultrabook with Intel i7 processor,  lightweight and durable.", 36
LP-AP-004,MacBook Air M2,Apple,109999,8,Laptop,TechNova Pvt Ltd,,Sleek Apple laptop with M2 chip  perfect for daily tasks.,12
LP-DE-005,Dell XPS 13,Dell,99999,12,Laptop,Elite Tech Supplies,,Premium Windows laptop with stunning display and performance.,12
HP-SO-006,Sony WH-1000XM5,Sony,24999,25,Headphones,SoundPro Solutions,,Noise-cancelling over-ear headphones with superior sound.,12
HP-BO-007,Bose QuietComfort 45,Bose,22999,20,Headphones,AudioMax Distributors,,Comfortable wireless headphones with active noise cancellation.,12
EB-AP-008,Apple AirPods Pro 2,Apple,21999,30,Earbuds,SmartLife Traders,,Wireless earbuds with active noise cancellation and spatial audio.,6
EB-SA-009,Samsung Galaxy Buds 2,Samsung,11999,35,Earbuds,SoundPro Solutions,,True wireless earbuds with clear sound and comfortable fit.,6
MS-LO-010,Logitech MX Master 3,Logitech,7999,50,Mouse,Peripheral Pros,,High-precision ergonomic wireless mouse.,12
MS-RA-011,Razer DeathAdder V2,Razer,4999,40,Mouse,Peripheral Pros,,Gaming mouse with high DPI and programmable buttons.,12 
TV-LG-012,"LG 55\"" OLED TV",LG,159999,5,TV,VisionTech Supplies,,4K OLED smart TV with vibrant colors and HDR.,36 
TV-SA-013,"Samsung 50\"" QLED TV",Samsung,129999,7,TV,Visionary Electronics,,QLED smart TV with stunning picture quality.,36 
TV-SO-014,"Sony Bravia 43\""",Sony,84999,10,TV,VisionTech Supplies,,Full HD smart TV with excellent color reproduction.,24
PR-HP-015,HP LaserJet Pro M404dn,HP,21999,12,Printer,PrintWorks Pvt Ltd,,Mono laser printer for office and home use.,12
PR-CA-016,Canon Pixma G6020,Canon,17999,15,Printer,CameraKing Distributors,,All-in-one inkjet printer with refillable tanks.,12
TB-SA-017,Samsung Galaxy Tab S9,Samsung,59999,10,Tablet,TechWorld Pvt Ltd,,Android tablet with S Pen support and AMOLED display.,12
TB-AP-018,iPad Air 5th Gen,Apple,52999,8,Tablet,Elite Tech Supplies,,Lightweight Apple tablet perfect for work and study.,12
EB-AM-019,Kindle Paperwhite,Amazon,14999,25,E-reader,ReadMore Supplies,,Waterproof e-reader with crisp display for reading.,12
GC-NT-020,Nintendo Switch OLED,Nintendo,44999,15,Gaming Console,GameZone Distributors,,Portable gaming console with vivid OLED screen.,12
LP-AS-021,Asus ROG Zephyrus,Asus,139999,7,Laptop,GameZone Distributors,,High-performance gaming laptop with powerful GPU.,24
SM-OP-022,OnePlus 11,OnePlus,69999,18,Smartphone,TechWorld Pvt Ltd,,Flagship OnePlus smartphone with fast charging and AMOLED display.,12
EB-SO-023,Sony WF-1000XM4,Sony,14999,30,Earbuds,SoundPro Solutions,,True wireless earbuds with excellent noise cancellation.,12
TB-MS-024,Microsoft Surface Pro 9,Microsoft,99999,5,Tablet,Elite Tech Supplies,,2-in-1 tablet with Windows 11 for work and play.,12
SP-BO-025,Bose SoundLink Revolve,Bose,15999,20,Speaker,AudioMax Distributors,,Portable Bluetooth speaker with 360-degree sound.,12
SP-JB-026,JBL Flip 6,JBL,7999,30,Speaker,AudioMax Distributors,,Portable speaker with deep bass and water resistance.,12
DP-AP-027,Apple Mac Mini M2,Apple,84999,6,Desktop,TechNova Pvt Ltd,,Compact desktop computer with M2 chip and fast performance.,12
LP-DE-028,Dell Inspiron 15,Dell,59999,15,Laptop,DigiHub Electronics,,Everyday laptop with Intel i5 processor and reliable performance.,24
LP-HP-029,HP Envy 13,HP,69999,10,Laptop,Elite Tech Supplies,,Slim and powerful Windows laptop for productivity.,24
LP-SA-030,Samsung Galaxy Book3,Samsung,94999,8,Laptop,Elite Tech Supplies,,High-performance laptop with AMOLED display and fast SSD.,24
TB-AP-031,Apple AirPods 3,Apple,15999,30,Earbuds,SmartLife Traders,,Wireless earbuds with spatial audio and longer battery life.,12
TB-SA-032,Samsung Galaxy Tab A8,Samsung,19999,12,Tablet,TechWorld Pvt Ltd,,Affordable Android tablet with crisp display.,12
LP-LE-033,Lenovo Yoga 7i,Lenovo,84999,9,Laptop,DigiHub Electronics,,Convertible laptop with touchscreen and Intel i7 processor.,24
LP-AS-034,Asus TUF Gaming F15,Asus,79999,7,Laptop,GameZone Distributors,,Gaming laptop with durable build and dedicated GPU.,24
SP-SO-035,Sony SRS-XB33,Sony,8999,20,Speaker,AudioMax Distributors,,Portable Bluetooth speaker with extra bass.,12
SP-BO-036,Bose Home Speaker 500,Bose,24999,10,Speaker,AudioMax Distributors,,Smart speaker with voice control and premium sound.,12
TB-AP-037,Apple iPad 10th Gen,Apple,42999,12,Tablet,Elite Tech Supplies,,Versatile tablet for education and entertainment.,24
GC-NT-038,Nintendo Switch Lite,Nintendo,19999,25,Gaming Console,GameZone Distributors,,Compact handheld gaming console for fun on the go.,12
CAM-CA-039,Canon EOS M50,Canon,69999,8,Camera,CameraKing Distributors,,Mirrorless camera with 24MP sensor and 4K video.,24
CAM-NI-040,Nikon Z50,Nikon,74999,6,Camera,CameraKing Distributors,,Mirrorless camera with excellent autofocus and compact body.,24
SM-AP-041,iPhone 14,Apple,84999,18,Smartphone,TechWorld Pvt Ltd,,Apple's flagship smartphone with improved battery and camera.,12
SM-SA-042,Galaxy S22,Samsung,79999,20,Smartphone,MobileMart Pvt Ltd,,High-performance Samsung smartphone with AMOLED display.,12
LP-DE-043,Dell Latitude 7420,Dell,109999,9,Laptop,DigiHub Electronics,,Business laptop with Intel i7 processor and long battery life.,36
LP-AP-044,MacBook Pro 14 M2,Apple,159999,6,Laptop,TechNova Pvt Ltd,,High-end Apple laptop with M2 Pro chip and Retina display.,36
LP-AS-045,Asus ZenBook Duo,Asus,94999,7,Laptop,GameZone Distributors,,Dual-screen laptop for productivity and multitasking.,36
HP-SO-046,Sony WH-XB910N,Sony,18999,22,Headphones,SoundPro Solutions,,Wireless headphones with extra bass and noise cancellation.,12
HP-BO-047,Bose 700 Headphones,Bose,23999,18,Headphones,AudioMax Distributors,,Premium noise-cancelling headphones with sleek design.,12
EB-AP-048,AirPods Max,Apple,54999,10,Earbuds,SmartLife Traders,,Over-ear Apple wireless headphones with spatial audio.,12
EB-SA-049,Samsung Galaxy Buds Pro,Samsung,12999,25,Earbuds,SoundPro Solutions,,True wireless earbuds with ANC and water resistance.,12
MS-LO-050,Logitech G Pro X,Logitech,8999,35,Mouse,Peripheral Pros,,High-precision gaming mouse with customizable DPI.,12
MS-RA-051,Razer Naga X,Razer,6999,30,Mouse,Peripheral Pros,,Ergonomic MMO gaming mouse with 16 programmable buttons.,12
TV-LG-052,"LG 65"" OLED TV",LG,219999,3,TV,VisionTech Supplies,,65-inch OLED smart TV with HDR and Dolby Vision.,36
TV-SA-053,"Samsung 55"" QLED TV",Samsung,149999,5,TV,Visionary Electronics,,4K QLED TV with vibrant colors and smart features.,36
TV-SO-054,"Sony Bravia 65""",Sony,174999,4,TV,VisionTech Supplies,,65-inch 4K UHD smart TV with excellent contrast.,36
PR-HP-055,HP DeskJet 2710,HP,8999,15,Printer,PrintWorks Pvt Ltd,,All-in-one inkjet printer for home use.,12
PR-CA-056,Canon PIXMA TS8320,Canon,14999,10,Printer,CameraKing Distributors,,Versatile all-in-one inkjet printer for photos and documents.,12
TB-SA-057,Samsung Galaxy Tab S8,Samsung,44999,8,Tablet,TechWorld Pvt Ltd,,High-performance Android tablet with S Pen support.,24
TB-AP-058,iPad Pro 11 M2,Apple,79999,5,Tablet,Elite Tech Supplies,,Apple's powerful tablet with M2 chip and Liquid Retina display.,24
EB-AM-059,Kindle Oasis,Amazon,24999,12,E-reader,ReadMore Supplies,,Premium e-reader with adjustable warm light and waterproof design.,12
GC-NT-060,Nintendo Switch V2,Nintendo,39999,20,Gaming Console,GameZone Distributors,,Updated model of Nintendo Switch with improved battery life.,12
LP-LE-061,Lenovo Legion 5,Lenovo,104999,7,Laptop,DigiHub Electronics,,Gaming laptop with AMD Ryzen 7 and NVIDIA GPU.,36
LP-AS-062,Asus ROG Strix G17,Asus,124999,5,Laptop,GameZone Distributors,,High-end gaming laptop with 17-inch display.,36
SM-OP-063,OnePlus Nord 3,OnePlus,39999,18,Smartphone,TechWorld Pvt Ltd,,Mid-range smartphone with AMOLED display and fast charging.,24
SP-BO-064,Bose Portable Smart Speaker,Bose,19999,12,Speaker,AudioMax Distributors,,Portable smart speaker with deep bass and voice control.,12
SP-JB-065,JBL Charge 5,JBL,11999,20,Speaker,AudioMax Distributors,,Portable waterproof speaker with powerful sound.,12
DP-AP-066,Apple iMac 24,Apple,124999,4,Desktop,TechNova Pvt Ltd,,24-inch Apple desktop with M1 chip and vibrant display.,24
LP-DE-067,Dell Inspiron 16,DEll,69999,10,Laptop,DigiHub Electronics,,Everyday laptop with large display and reliable performance.,36
LP-HP-068,HP Spectre x360,HP,119999,6,Laptop,Elite Tech Supplies,,Convertible laptop with premium design and fast performance.,36
LP-SA-069,Samsung Galaxy Book2, Samsung,89999,8,Laptop,Elite Tech Supplies,,Slim laptop with AMOLED display and solid battery.,36
TB-AP-070,Apple iPad Mini 6,Apple,44999,12,Tablet,Elite Tech Supplies,,Compact Apple tablet with fast processor and display.,24
TB-SA-071,Samsung Galaxy Tab S7, Samsung,39999,10,Tablet,TechWorld Pvt Ltd,,Android tablet with S Pen and multi-tasking features.,24
CAM-CA-072,Canon EOS R10,Canon,104999,5,Camera,CameraKing Distributors,,Mirrorless camera with 24MP sensor and fast autofocus.,24
CAM-NI-073,Nikon Z fc,Nikon,84999,4,Camera,CameraKing Distributors,,Retro-style mirrorless camera with high-quality imaging.,24
CAM-FU-074,Fujifilm X-T4,Fujifilm,124999,3,Camera,CameraKing Distributors,,Mirrorless camera with in-body stabilization and 4K video.,24
MS-LO-075,Logitech G604,Logitech,6999,25,Mouse,Peripheral Pros,,Wireless gaming mouse with long battery life.,12
MS-RA-076,Razer Viper Ultimate,Razer,9999,18,Mouse,Peripheral Pros,,Lightweight wireless gaming mouse with speed and precision.,12
TV-LG-077,"LG 75"" OLED TV",LG,349999,2,TV,VisionTech Supplies,,75-inch OLED TV with perfect blacks and HDR.,36
TV-SA-078,"Samsung The Frame 55""",Samsung,179999,4,TV,Visionary Electronics,,55-inch smart TV that doubles as artwork.,36
TV-SO-079,"Sony Bravia 75""",Sony,224999,1,TV,VisionTech Supplies,,75-inch 4K UHD TV with HDR and smart features.,36
