product_sku,action,quantity,created_at,reason
PO-AN-0791,OUT,3,2024-01-01 01:03:25,Sale - Order BILL-09619
CA-BO-0127,OUT,3,2024-01-01 01:03:25,Sale - Order BILL-09619
SM-OP-0444,OUT,2,2024-01-01 06:36:56,Sale - Order BILL-08081
HE-SE-0358,OUT,3,2024-01-01 06:36:56,Sale - Order BILL-08081
SM-SA-0543,OUT,3,2024-01-01 06:36:56,Sale - Order BILL-08081
EA-NO-0198,OUT,2,2024-01-01 10:30:31,Sale - Order BILL-01766
EA-AN-0351,OUT,3,2024-01-01 10:30:31,Sale - Order BILL-01766
SP-UL-0663,OUT,1,2024-01-01 10:30:31,Sale - Order BILL-01766
PO-ON-0535,OUT,1,2024-01-01 16:55:23,Sale - Order BILL-03519
LA-RA-0231,OUT,1,2024-01-01 16:55:23,Sale - Order BILL-03519
TV-TC-0356,OUT,2,2024-01-01 17:42:13,Sale - Order BILL-01010
GA-SO-0033,OUT,3,2024-01-01 17:42:13,Sale - Order BILL-01010
WE-LO-0566,OUT,1,2024-01-01 18:33:08,Sale - Order BILL-06898
HE-AU-0274,OUT,2,2024-01-01 18:55:50,Sale - Order BILL-00842
SM-ON-0412,OUT,3,2024-01-01 18:55:50,Sale - Order BILL-00842
ME-SO-0429,OUT,2,2024-01-01 19:56:25,Sale - Order BILL-01640
HE-BE-0167,OUT,3,2024-01-01 19:56:25,Sale - Order BILL-01640
PR-BR-0130,OUT,3,2024-01-01 23:25:05,Sale - Order BILL-02687
CH-BE-0471,OUT,2,2024-01-01 23:25:05,Sale - Order BILL-02687
CA-GO-0243,OUT,3,2024-01-01 23:25:05,Sale - Order BILL-02687
PR-EP-0250,OUT,1,2024-01-02 04:04:50,Sale - Order BILL-05156
TA-SA-0332,OUT,1,2024-01-02 04:04:50,Sale - Order BILL-05156
PR-XE-0567,OUT,1,2024-01-02 09:30:46,Sale - Order BILL-07603
CH-BO-0491,OUT,2,2024-01-02 16:53:17,Sale - Order BILL-08408
RO-AS-0142,OUT,1,2024-01-02 16:53:17,Sale - Order BILL-08408
ME-KI-0747,OUT,3,2024-01-02 16:53:17,Sale - Order BILL-08408
EA-AP-0531,OUT,3,2024-01-02 16:53:17,Sale - Order BILL-08408
KE-RA-0341,OUT,2,2024-01-03 03:07:48,Sale - Order BILL-04039
CA-ON-0197,OUT,2,2024-01-03 03:07:48,Sale - Order BILL-04039
MO-BE-0085,OUT,2,2024-01-03 03:49:41,Sale - Order BILL-02124
MO-HP-0161,OUT,1,2024-01-03 03:49:41,Sale - Order BILL-02124
WE-HP-0146,OUT,2,2024-01-03 05:51:25,Sale - Order BILL-09322
SM-ON-0316,OUT,1,2024-01-03 05:51:25,Sale - Order BILL-09322
TA-AP-0253,OUT,2,2024-01-03 14:51:50,Sale - Order BILL-08510
PO-SA-0555,OUT,1,2024-01-03 14:51:50,Sale - Order BILL-08510
TA-SA-0424,OUT,1,2024-01-03 14:51:50,Sale - Order BILL-08510
CH-AN-0191,OUT,1,2024-01-03 20:21:52,Sale - Order BILL-05882
TA-RE-0202,OUT,2,2024-01-03 20:21:52,Sale - Order BILL-05882
SM-ON-0576,OUT,2,2024-01-03 22:50:53,Sale - Order BILL-00533
KE-ST-0766,OUT,1,2024-01-03 22:50:53,Sale - Order BILL-00533
ME-TR-0037,OUT,3,2024-01-03 22:50:53,Sale - Order BILL-00533
SM-ON-0316,OUT,2,2024-01-03 22:50:53,Sale - Order BILL-00533
