sku,name,brand,purchase_price,price,quantity,category,supplier,description,warranty_months
MO-DE-0001,Dell Monitor Model 462,Dell,34676,44312,65,Monitor,PowerTech Distributors,Dell Monitor with premium features,12
SM-GA-0002,Garmin Smartwatch Model 401,Garmin,32472,43548,30,Smartwatch,SoundPro Solutions,Garmin Smartwatch with premium features,24
HE-JB-0003,JBL Headphones Model 495,JBL,6362,8461,13,Headphones,SmartGear Traders,JBL Headphones with premium features,24
LA-DE-0004,Dell Laptop Model 259,Dell,51700,80165,18,Laptop,MobileMart Pvt Ltd,Dell Laptop with premium features,36
TA-AP-0005,Apple Tablet Model 702,Apple,22080,34920,26,Tablet,Elite Tech Supplies,Apple Tablet with premium features,36
MO-LO-0006,Logitech Mouse Model 258,Logitech,1030,1565,6,Mouse,GameZone Distributors,Logitech Mouse with premium features,6
SM-SA-0007,Samsung Smartphone Model 810,Samsung,46495,63551,24,Smartphone,PowerTech Distributors,Samsung Smartphone with premium features,6
HE-AU-0008,Audio-Technica Headphones Model 633,Audio-Technica,8969,13503,84,Headphones,TechWorld Pvt Ltd,Audio-Technica Headphones with premium features,6
KE-CO-0009,Corsair Keyboard Model 632,Corsair,2683,3910,19,Keyboard,Visiopython managnary Electronics,Corsair Keyboard with premium features,24
RO-NE-0010,Netgear Router Model 551,Netgear,8364,10628,83,Router,TechWorld Pvt Ltd,Netgear Router with premium features,6
HE-BO-0011,Bose Headphones Model 731,Bose,18368,29798,31,Headphones,Peripheral Pros,Bose Headphones with premium features,24
SM-XI-0012,Xiaomi Smartphone Model 849,Xiaomi,74029,94800,86,Smartphone,MobileMart Pvt Ltd,Xiaomi Smartphone with premium features,12
RO-CI-0013,Cisco Router Model 278,Cisco,3880,5759,17,Router,MobileMart Pvt Ltd,Cisco Router with premium features,36
TV-SO-0014,Sony TV Model 197,Sony,84181,128605,43,TV,SmartGear Traders,Sony TV with premium features,36
LA-MS-0015,MSI Laptop Model 602,MSI,60355,86104,60,Laptop,AudioMax Distributors,MSI Laptop with premium features,36
RO-CI-0016,Cisco Router Model 260,Cisco,5755,8413,30,Router,GameZone Distributors,Cisco Router with premium features,12
LA-MS-0017,MSI Laptop Model 767,MSI,56333,88965,91,Laptop,GameZone Distributors,MSI Laptop with premium features,24
CA-SO-0018,Sony Camera Model 358,Sony,74885,117122,29,Camera,ConnectPro Supplies,Sony Camera with premium features,24
CA-CA-0019,Canon Camera Model 738,Canon,70863,98894,53,Camera,Visionary Electronics,Canon Camera with premium features,24
HE-PH-0020,Philips Headphones Model 445,Philips,6228,8605,71,Headphones,ElectroMart Solutions,Philips Headphones with premium features,24
SM-RE-0021,Realme Smartphone Model 743,Realme,33163,52328,16,Smartphone,DigiHub Electronics,Realme Smartphone with premium features,12
KE-RA-0022,Razer Keyboard Model 822,Razer,4335,6297,91,Keyboard,VisionTech Supplies,Razer Keyboard with premium features,12
