id,product_sku,supplier,description,quantity,status,created_at
1,MO-MI-0680,GameZone Distributors,Urgent: Microsoft Mouse Model 905 running out,129,Approved,2025-05-01 09:31:00
2,CA-NI-0371,DigiHub Electronics,Customer pre-orders for Nikon Camera Model 497,164,Approved,2025-10-31 00:15:43
3,EA-AN-0091,TechWorld Pvt Ltd,Seasonal demand increase for Anker Earbuds Model 214,168,Pending,2024-06-28 00:47:38
4,TV-ON-0632,SmartLife Traders,Urgent: OnePlus TV Model 335 running out,17,Pending,2024-12-05 14:02:39
5,CA-OL-0370,DigiHub Electronics,Bulk order request for Olympus Camera Model 900,25,Pending,2025-07-16 21:39:24
6,KE-KE-0787,CameraKing Distributors,Seasonal demand increase for Keychron Keyboard Model 383,35,Approved,2025-05-29 20:03:38
7,SM-RE-0059,TechNova Pvt Ltd,Seasonal demand increase for Realme Smartphone Model 168,170,Approved,2025-08-18 04:19:51
8,CA-AN-0639,SmartLife Traders,Customer pre-orders for Anker Cable Model 119,183,Approved,2024-04-05 16:12:27
9,MO-DE-0135,SmartLife Traders,Low stock alert - need restock for Dell Mouse Model 410,84,Pending,2025-04-14 19:49:56
10,SM-XI-0080,TechNova Pvt Ltd,Low stock alert - need restock for Xiaomi Smartphone Model 438,40,Pending,2024-06-20 18:19:38
11,CA-BE-0539,ElectroMart Solutions,Low stock alert - need restock for Belkin Cable Model 290,95,Approved,2025-11-07 07:50:34
12,MO-DE-0192,VisionTech Supplies,Customer pre-orders for Dell Monitor Model 338,63,Rejected,2024-01-09 16:01:03
13,GA-SO-0033,VisionTech Supplies,Urgent: Sony Gaming Console Model 353 running out,101,Approved,2024-08-08 04:34:02
14,TA-MI-0272,PrintWorks Pvt Ltd,Low stock alert - need restock for Microsoft Tablet Model 833,153,Approved,2025-01-23 20:43:48
15,SM-GA-0002,SoundPro Solutions,Low stock alert - need restock for Garmin Smartwatch Model 401,43,Approved,2025-08-07 01:18:00
16,LA-MS-0120,AudioMax Distributors,Seasonal demand increase for MSI Laptop Model 468,198,Approved,2025-03-01 02:21:39
17,TV-XI-0032,AudioMax Distributors,Urgent: Xiaomi TV Model 745 running out,116,Approved,2024-03-21 19:01:11
18,CA-AN-0754,ReadMore Supplies,Customer pre-orders for Anker Cable Model 215,35,Approved,2024-08-13 12:28:53
19,PR-HP-0570,VisionTech Supplies,Customer pre-orders for HP Printer Model 675,161,Rejected,2024-10-10 05:13:44
20,WE-LO-0566,Elite Tech Supplies,Customer pre-orders for Logitech Webcam Model 613,61,Approved,2025-01-19 02:29:11
21,TA-AP-0180,ConnectPro Supplies,Seasonal demand increase for Apple Tablet Model 919,188,Approved,2024-04-05 01:58:34
22,TA-SA-0792,ConnectPro Supplies,Seasonal demand increase for Samsung Tablet Model 441,174,Approved,2024-08-16 19:10:44
23,SM-SA-0543,PrintWorks Pvt Ltd,Bulk order request for Samsung Smartphone Model 359,192,Approved,2024-08-02 14:46:40
24,TA-MI-0465,TechWorld Pvt Ltd,Seasonal demand increase for Microsoft Tablet Model 995,106,Pending,2024-08-28 19:18:42
25,LA-AP-0740,PowerTech Distributors,Low stock alert - need restock for Apple Laptop Model 913,131,Pending,2024-06-25 08:33:05
26,SM-ON-0169,DigiHub Electronics,Seasonal demand increase for OnePlus Smartwatch Model 113,71,Approved,2024-12-08 05:39:42
27,PO-SA-0379,SmartGear Traders,Urgent: Samsung Power Bank Model 981 running out,104,Approved,2024-11-12 13:23:28
28,GA-NI-0092,AudioMax Distributors,Seasonal demand increase for Nintendo Gaming Console Model 492,137,Approved,2024-01-20 14:41:07
29,SM-AP-0282,GameZone Distributors,Customer pre-orders for Apple Smartwatch Model 690,189,Approved,2025-10-03 00:57:20
30,ME-KI-0582,ConnectPro Supplies,Urgent: Kingston Memory Card Model 152 running out,95,Approved,2025-01-17 06:51:33
31,CA-UG-0450,MobileMart Pvt Ltd,Customer pre-orders for Ugreen Cable Model 974,107,Pending,2024-01-23 17:47:52
32,SM-BO-0103,TechWorld Pvt Ltd,Customer pre-orders for Boat Smartwatch Model 123,91,Approved,2025-03-12 23:28:48
33,CH-AN-0162,SmartLife Traders,Bulk order request for Anker Charger Model 645,199,Approved,2024-04-17 00:21:09
34,HE-SO-0586,TechWorld Pvt Ltd,Customer pre-orders for Sony Headphones Model 264,103,Pending,2025-12-13 23:15:38
35,GA-SO-0763,ConnectPro Supplies,Seasonal demand increase for Sony Gaming Console Model 384,126,Pending,2025-06-12 06:24:49
36,MO-HP-0161,SoundPro Solutions,Low stock alert - need restock for HP Mouse Model 379,93,Approved,2025-01-09 09:48:05
37,RO-TP-0671,AudioMax Distributors,Customer pre-orders for TP-Link Router Model 134,151,Approved,2026-01-14 02:14:26
38,PO-SY-0288,ConnectPro Supplies,Urgent: Syska Power Bank Model 996 running out,149,Pending,2024-10-19 06:47:24
39,GA-SO-0509,PowerTech Distributors,Low stock alert - need restock for Sony Gaming Console Model 159,101,Approved,2024-03-26 00:35:22
40,SM-RE-0059,TechNova Pvt Ltd,Urgent: Realme Smartphone Model 168 running out,101,Approved,2025-12-27 06:46:42
41,TA-MI-0521,ConnectPro Supplies,Bulk order request for Microsoft Tablet Model 645,104,Pending,2025-05-05 04:28:51
42,HE-SO-0186,ConnectPro Supplies,Customer pre-orders for Sony Headphones Model 614,194,Pending,2025-03-30 01:02:02
43,GA-NI-0092,AudioMax Distributors,Urgent: Nintendo Gaming Console Model 492 running out,48,Rejected,2024-08-16 11:36:35
44,CA-BO-0413,SoundPro Solutions,Urgent: Boat Cable Model 431 running out,24,Approved,2025-02-18 13:54:57
