order_id,product_sku,quantity,price,warranty_months
1,KE-ST-0215,3,10661,6
1,TA-MI-0286,3,62308,24
1,WE-RA-0214,2,3012,6
2,SM-MO-0245,2,97631,24
2,CA-NI-0322,2,67161,36
2,RO-CI-0267,3,10560,24
2,SM-MO-0187,2,47725,36
3,SP-JB-0697,1,16293,6
4,CA-BO-0451,1,628,6
5,MO-DE-0618,2,62497,6
6,PR-BR-0179,2,36709,12
7,SM-MO-0630,3,24036,24
7,LA-DE-0211,3,140299,12
8,LA-LE-0784,1,71726,12
8,SM-RE-0059,3,113551,6
11,PO-ON-0540,2,2844,24
11,RO-TP-0671,1,12263,12
12,WE-LO-0566,1,7018,6
12,LA-AC-0537,2,86393,6
13,GA-MI-0425,1,41719,12
13,EA-SA-0526,1,11245,36
15,KE-KE-0591,3,3788,6
16,CA-AN-0343,2,729,36
16,PO-SA-0506,3,1798,6
17,ME-KI-0595,3,2706,36
17,SP-HA-0226,3,4448,12
17,HE-SK-0046,3,4710,6
17,SM-NO-0303,1,38277,6
18,SP-UL-0496,1,18255,24
19,ME-SO-0247,2,3959,6
19,LA-DE-0516,2,175001,24
20,EA-JA-0725,2,1015,36
20,PR-BR-0718,2,46106,12
21,RO-CI-0768,1,6574,24
21,HE-SE-0209,1,29141,12
21,ME-SO-0074,3,6552,6
22,GA-MI-0617,1,51874,36
22,MO-AC-0249,1,78471,36
23,PO-AM-0459,2,2933,12
23,SM-GO-0195,2,105784,24
24,HE-SK-0700,3,28550,36
24,GA-MI-0381,2,33987,6
24,SM-SA-0183,2,12359,12
26,TV-ON-0081,2,81785,24
27,KE-RA-0339,3,14054,12
28,CA-BE-0113,3,1476,12
29,HE-SK-0331,1,19224,6
29,SP-HA-0134,2,24023,6
29,WE-CR-0698,3,10746,24
30,PR-CA-0372,2,11259,6
31,KE-RA-0212,1,6474,6
31,ME-SA-0781,1,5197,6
32,MO-DE-0515,3,6638,6
32,KE-LO-0488,2,3630,6
32,LA-DE-0089,3,82224,12
33,MO-DE-0063,1,1217,24
33,CA-FU-0793,1,144027,24
33,EA-JA-0228,3,17483,36
34,TA-RE-0319,3,74134,24
34,RO-CI-0157,3,9662,24
34,HE-JB-0304,1,14533,6
35,RO-AS-0093,2,8284,24
35,LA-DE-0665,2,125924,24
35,CA-PA-0307,1,123661,6
35,LA-DE-0580,1,84317,24
36,TA-SA-0499,2,37912,24
36,EA-AP-0531,2,1606,6
36,RO-CI-0013,3,5759,36
37,PO-AN-0384,2,4397,36
37,WE-LO-0105,3,12091,24
37,HE-SK-0445,1,24899,36
38,LA-MI-0126,2,182628,24
39,EA-SO-0326,1,20739,12
39,WE-MI-0438,1,9492,24
40,LA-DE-0004,2,80165,36
40,PR-HP-0043,1,13418,12
41,GA-NI-0204,1,36707,12
42,SM-OP-0770,2,20146,24
42,CH-BE-0783,3,365,12
43,LA-DE-0665,3,125924,24
43,GA-NI-0309,2,33478,36
44,ME-KI-0408,3,557,36
45,HE-SK-0060,2,19943,36
45,PO-ON-0246,1,2554,12
46,LA-DE-0677,3,134210,36
46,HE-BE-0256,2,10947,36
46,MO-SA-0604,2,26820,24
47,HE-SO-0586,1,9701,36
47,CA-GO-0289,2,147823,36
48,SM-OP-0733,3,110624,12
48,MO-CO-0790,2,5029,24
50,MO-ST-0673,2,2660,36
51,KE-DU-0411,2,12738,36
51,GA-NI-0644,1,52492,12
52,SP-UL-0652,2,8671,12
52,GA-SO-0473,1,54701,36
52,TA-AP-0721,1,27720,24
53,TV-TC-0335,1,103728,6
54,SP-UL-0557,1,34915,24
55,SM-AP-0560,1,107835,12
55,LA-HP-0082,2,141535,12
58,PO-SA-0506,2,1798,6
58,SP-JB-0650,2,32845,24
59,SP-MA-0660,3,34569,24
59,SM-SA-0511,1,61886,24
59,MO-MI-0680,2,7283,36
